climatebelief	econcern	poli	ambient1	ambient2	source01	ResponseId	consent	activist	envhope	cblame_ind	cblame_gov	cblame_corp	cblame_comm	cvictim_ind	cvictim_gov	cvictim_corp	cvictim_comm	cresponsible_ind	cresponsible_comm	cresponsible_gov	cresponsible_corp	emo_Angry	emo_Worry	emo_Sad	emo_Hope	emo_Guilt	freqthought	freqemo	asp1	asp2	asp3	asch1	asch2	asch3	asu1	asn1	asn2	asn3	asu2	asp4	asu3	asu4	asi1	asi2	asi3	CaseID	Direct	Target	Time	Temperature	Weather	Wildfire	Economy	PoliInaction	IndividualInaction	NotStressed	Overreact	Habitat	School	NewsDocs	Pollution	IceCaps	Plastic	Future	Health	Guilt	Bot	Other	recall_gen	emointense	selfdistr1	active1	denial1	substance1	emosupp1	disengage1	active2	denial2	vent1	instrumental1	substance2	reframe1	sblame1	plan1	emosupp2	disengage2	reframe2	humor1	selfdistr2	accept1	vent2	religion1	instrument2	accept2	plan2	sblame2	religion2	humor2	eco1	eco2	eco3	eco4	gender	Female	race	DELETE	age	educ	zipcode	poliideo	poliparty	venting	selfdistract	emosupport	active	planning	disengagement	substance	selfblame	denial	humor	religion	acceptance	instrumental	reframing	EconPoli	econcernXpoli	ambient3	concernC	asF1	asF2	asF3	distancing1	distancing2	problemfocus	probsocial	minimization
1	6	5.00	5.40	5.50	0	R_1Pc2wDUmirEaSxl	4	5	6	3	5	4	4	4	5	5	4	5	5	4	4	2	1	1	5	2	3	3	5	6	5	6	6	6	5	6	6	5	5	5	5	6	5	6	4	95	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Climate change is slightly problem , i felt stressed in climate change"	6	3	2	2	2	3	2	3	3	2	3	2	2	3	3	2	3	3	2	3	3	2	3	2	3	3	3	2	3	2	4	2	3	Male	0	Hispanic	0.00	30.00	7	95628	1	9	2.00	3.00	2.50	2.50	3.00	2.50	2.00	3.00	2.50	2.50	2.50	3.00	2.50	2.50	30.00	30.00	4.00	5.75	5.50	5.67	4.50	2.50	2.50	2.75	2.63	5.67
1	7	5.00	5.70	6.25	0	R_2BfgJuHPIihj3ib	4	4	6	4	5	4	3	4	5	2	3	4	5	3	2	4	5	3	2	4	4	5	6	6	7	7	5	5	6	6	4	6	4	6	5	5	7	7	4	97	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Climate change disturb my health and delayed some work.	6	2	4	3	1	3	3	1	4	2	3	1	3	1	2	4	1	4	3	2	2	4	2	3	4	1	4	2	3	1	3	1	4	Male	0	Blck	0.00	28.00	7	98052	8	2	3.00	2.00	3.50	2.50	1.50	2.00	1.00	2.50	3.50	3.00	2.00	3.00	3.00	3.50	35.00	35.00	4.00	6.29	5.58	6.00	5.50	2.40	2.58	2.00	2.63	6.00
1	6	7.50	6.40	6.50	0	R_zYyzv8wPdNTMD5f	4	2	6	4	5	4	5	4	5	5	4	5	4	5	4	4	5	4	5	4	6	6	7	7	7	7	6	6	6	7	6	7	6	6	6	6	7	6	7	100	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLIMATE CHANGE IS VERY IMPORTANT. THAT IS A BIG DEAL FOR EVERY HUMAN	6	4	4	4	4	4	4	4	4	4	4	3	4	4	4	3	3	4	4	4	4	4	3	4	4	4	4	2	3	3	4	3	3	MALE	0	WHITE	0.00	27.00	7	75001	7	8	4.00	4.00	3.50	4.00	4.00	3.50	3.50	4.00	4.00	3.50	2.50	4.00	4.00	4.00	45.00	45.00	7.00	6.21	6.42	6.33	7.00	3.70	3.75	4.00	3.88	6.33
1	6	6.00	6.20	6.25	0	R_1jO1PMk2yXWiblb	4	1	6	4	5	4	5	5	4	4	5	4	5	4	5	5	4	5	4	5	3	3	7	6	7	6	6	6	6	6	6	6	6	6	6	6	7	6	7	102	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I felt stressed during the summer season.	6	2	2	2	2	2	2	3	2	2	3	1	2	3	4	4	4	4	4	4	3	4	3	4	3	4	3	4	3	3	3	4	4	MALE	0	WHITE	0.00	28.00	7	33909	8	4	3.00	3.00	3.00	2.50	4.00	3.00	1.50	3.00	2.00	3.50	3.50	3.00	3.50	3.00	36.00	36.00	7.00	6.08	6.17	6.00	7.00	2.60	2.67	3.25	3.25	6.00
1	6	6.50	5.30	5.25	0	R_3Ub6fr0zcgucQzD	4	4	6	4	5	3	4	4	5	3	4	4	3	5	2	1	2	4	5	3	3	5	6	5	5	5	4	5	4	4	4	5	6	6	6	6	5	6	7	108	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	I FEEL HAPPY.THE CLIMATE IS CHILL. I WILL ENJOY THE CLIMATE .	5	2	3	3	4	2	3	1	2	2	1	3	2	4	1	2	2	3	4	1	1	3	2	4	1	3	1	3	2	3	2	1	3	MALE	0	WHITE	0.00	30.00	7	34606	6	7	2.50	1.50	2.00	2.00	2.00	2.50	3.50	2.50	2.50	3.00	2.50	1.00	2.50	2.50	39.00	39.00	7.00	5.54	5.08	5.33	6.00	2.80	2.75	2.00	2.13	5.33
1	6	9.00	6.00	5.75	0	R_3lAliZoDUwm2xAm	4	1	6	5	4	4	5	5	5	4	3	5	4	3	5	5	4	3	3	5	4	5	7	7	4	7	6	5	5	6	7	7	7	5	5	7	6	5	5	120	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	When i was trying to explain climate change to a friend he got a bit mad about it saying its not real and everything he wouldn't hear me out or anything.	6	3	2	3	4	3	1	3	3	4	2	2	1	2	3	4	4	1	3	2	4	3	2	3	3	4	3	2	1	3	4	2	3	male	0	white	0.00	33.00	7	39466	9	9	3.50	2.50	3.50	2.50	3.50	2.50	3.00	2.50	3.00	2.00	2.00	3.50	2.50	1.00	54.00	54.00	5.00	6.04	6.08	5.67	5.50	2.60	2.33	3.00	3.00	5.67
1	1	5.00	1.00	7.00	0	R_2xRSHqjFgzbLaad	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	7	1	1	1	7	1	1	1	1	7	7	7	128	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	I cannot ever reminder being stress in anyway when thinking about climate change. Perhaps you can count how I feel when I see all the money fear mongerers are making of scaring people about climate change.	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	male	0	white	0.00	70.00	7	77082	5	5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	5.00	5.00	7.00	1.00	1.00	7.00	7.00	1.00	1.00	1.00	1.00	7.00
1	6	8.50	6.80	5.75	0	R_12gnM2cVGjrDaoY	4	1	7	5	4	4	4	5	5	5	4	5	4	5	3	4	5	2	5	3	3	3	7	7	6	6	7	7	7	6	4	6	7	7	7	7	5	5	5	150	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	world is very big problem is climate change. this most important of environment and natural. human also destroyed the nature. nature is gift from god. so we safe this nature. climte change is man be stressed the event	7	3	4	4	3	4	3	4	3	4	3	1	4	4	3	3	4	4	3	4	4	4	4	4	4	2	4	4	4	4	3	4	4	female	1	black	0.00	27.00	7	.	9	8	4.00	3.50	3.50	4.00	2.50	3.50	2.00	4.00	3.50	3.50	4.00	4.00	3.50	4.00	51.00	51.00	5.00	6.25	6.50	6.00	5.00	3.30	3.42	3.25	3.38	6.00
1	2	5.00	2.00	4.50	0	R_3pf4b6DBoPJ6zQl	4	2	6	1	2	3	1	2	1	1	1	1	1	2	2	1	2	1	3	1	3	2	2	2	2	2	2	6	2	2	4	4	2	2	2	2	6	2	6	181	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"When I was little, the climate talk was about a new ice age coming. It scared me to think about never being warm again and it always being winter."	6	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	1	1	2	1	3	1	1	female	1	white	0.00	50.00	7	60193	5	5	1.50	2.00	1.00	1.00	1.00	1.50	1.00	1.00	1.50	2.00	1.00	1.50	1.00	1.50	10.00	10.00	6.00	2.08	2.17	4.00	6.00	1.40	1.42	1.00	1.00	4.00
1	5	2.00	5.10	5.25	0	R_3fABFjawdpN5mE2	4	4	5	4	3	3	4	4	4	3	4	4	5	4	3	2	2	2	4	2	6	5	5	5	5	5	6	5	5	5	5	5	4	6	6	4	6	5	5	186	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	one day my state is affected by storms that day.	5	2	2	3	3	2	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	3	3	2	female	1	american	0.00	35.00	7	19707	3	1	3.00	2.50	2.50	2.50	3.00	3.00	2.50	2.50	3.00	2.50	2.00	3.00	3.00	3.00	10.00	10.00	5.00	5.04	5.08	5.00	5.50	2.70	2.75	2.75	2.75	5.00
1	6	3.00	4.40	4.25	0	R_1kXLCwsCRU5GLB7	4	5	6	4	4	5	5	5	4	5	4	4	4	3	3	4	3	3	4	2	6	7	6	7	4	2	5	4	4	6	6	5	5	4	3	4	5	3	5	198	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	At the time of rainy seasons i feel happy at the beginning stage of rain .after that heavy rain stage is very irritable and disturbing our normal life.	7	2	2	4	3	2	1	3	4	3	2	2	4	2	2	3	2	3	2	3	2	4	3	2	2	4	2	2	3	4	4	3	3	female	1	white	0.00	28.00	7	94545	4	2	3.50	2.50	2.50	2.50	3.00	1.50	2.50	2.00	4.00	2.50	2.50	2.00	2.00	3.50	18.00	18.00	5.00	5.33	4.67	4.00	5.00	2.50	2.67	2.75	2.50	4.00
1	7	5.50	5.80	5.00	0	R_1ewLMsydkOWsOj2	4	5	5	1	1	1	1	4	5	4	3	4	3	5	5	1	1	2	4	3	2	3	3	7	6	6	6	3	5	2	4	7	6	6	6	7	3	7	7	202	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	very interesting	1	4	3	2	3	2	4	3	2	1	4	2	4	1	4	4	3	4	2	4	4	1	3	4	4	4	1	4	2	3	3	3	3	FEMALE	1	HISPANIC	0.00	33.00	7	97301	5	6	1.00	4.00	3.00	3.00	4.00	3.50	2.50	1.00	2.00	2.00	3.50	4.00	4.00	4.00	38.50	38.50	7.00	6.17	5.33	5.67	5.00	2.20	2.50	3.50	3.50	5.67
1	6	2.50	5.30	5.25	0	R_SZySOnb1vOdKGGZ	4	5	6	4	4	3	4	4	3	4	4	5	4	3	4	3	3	3	4	1	6	7	4	5	6	6	7	5	4	5	5	6	6	5	4	6	5	5	4	203	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"At the time of rainy seasons i feel happy but i have lot of disturbance in life like going outside for shopping,work,school ,collage it was very irritating."	6	4	4	3	3	2	3	3	4	3	4	1	4	2	4	4	2	4	2	3	4	3	2	3	2	2	4	2	4	2	3	2	4	female	1	hispanic	0.00	28.00	7	54660	3	2	3.00	3.50	3.00	3.50	3.00	2.50	2.00	3.00	3.50	3.00	2.00	3.00	3.50	4.00	15.00	15.00	4.00	5.63	5.25	5.33	4.50	2.80	3.00	3.25	3.25	5.33
1	7	9.00	6.80	7.00	0	R_3qCZz2LhdzEjp8j	4	1	7	4	5	5	5	4	5	5	5	5	5	4	5	5	4	3	5	5	3	3	6	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	211	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	the planing of the country more than exchange in climate moods in our view more importance is climate process	7	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	male	0	white	0.00	33.00	8	.	9	9	4.00	4.00	4.00	4.00	4.00	4.00	3.50	4.00	4.00	4.00	4.00	4.00	4.00	4.00	63.00	63.00	7.00	6.92	6.83	7.00	7.00	3.90	3.92	4.00	4.00	7.00
1	7	8.50	6.50	6.50	0	R_VUTumdI2P6LXCYV	4	2	7	5	4	5	4	4	5	5	4	4	4	5	4	1	2	1	2	1	5	5	7	7	7	5	6	6	7	7	6	7	7	7	6	6	7	6	6	219	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"You might have a hard time remembering an event like this or it might be quite easy. This might be something that happened once, or something that happens more frequently. You may also only have felt a little bit stressed or may have been very stressed. We would just like you to remember this event as best you can."	7	4	2	3	3	4	3	3	4	2	3	3	2	3	3	4	4	4	3	3	3	4	3	3	3	4	4	3	3	2	2	3	3	male	0	black	0.00	30.00	8	34428	9	8	3.00	3.50	4.00	2.50	3.50	3.50	3.00	3.50	3.50	3.00	3.00	3.00	3.00	3.00	59.50	59.50	6.00	6.75	6.50	6.33	6.50	3.30	3.25	3.00	3.25	6.33
1	6	9.00	5.40	5.25	0	R_3k63EusZRgn2FPB	4	3	5	4	3	5	4	4	4	3	5	3	4	5	4	4	3	5	4	4	4	3	4	7	5	6	5	6	5	4	6	5	7	6	4	5	5	5	6	221	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	The climate change is very time happened and is very difficult situation.	5	3	2	3	4	2	2	1	2	3	4	1	1	4	2	3	1	4	3	2	2	1	3	4	3	2	2	3	1	3	4	1	2	Male	0	Black	0.00	39.00	8	87109	9	9	2.00	2.50	2.50	1.50	2.00	1.50	2.50	3.00	2.50	2.00	3.00	2.50	4.00	2.50	54.00	54.00	6.00	5.67	5.33	5.33	5.50	2.30	2.33	1.75	2.50	5.33
1	7	8.50	6.20	5.75	0	R_qVqRi6LKPXRySwV	4	5	6	5	4	5	4	5	4	4	5	4	3	5	4	2	3	3	5	4	3	3	7	7	6	6	6	6	6	7	7	6	7	6	6	5	5	6	7	233	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	They feel like planning for the future is hopeless They are frustrated that there's nothing they can do now to change things.	6	2	3	2	3	4	2	3	2	3	4	2	2	4	3	4	2	4	3	2	3	4	2	4	2	3	2	4	3	2	4	3	4	female	1	white	0.00	25.00	8	67745	8	9	3.50	2.00	4.00	3.00	3.00	2.00	2.50	3.00	2.00	3.00	3.00	2.50	4.00	3.00	59.50	59.50	7.00	6.67	6.33	6.00	6.00	2.50	2.58	3.00	3.50	6.00
1	4	6.50	2.00	5.00	0	R_UKNyUo3myPthHyx	4	3	3	1	2	2	1	5	3	3	5	3	3	4	4	2	3	1	1	1	3	3	2	2	2	2	2	6	2	4	4	4	2	2	2	2	6	4	7	239	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	"After I watch the movie, ""the day after tomorrow"", about climate change. It gave me nightmares. We are due for a mini ice age because of sun spot solar minimum. That affects the planet greatly, do some research on that. Learned about this when studying environmental geology in grad school"	3	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	2	1	2	2	1	1	1	2	2	1	2	1	1	1	2	1	female	1	white	0.00	62.00	8	47150	7	6	1.50	1.50	1.00	1.50	2.00	1.50	1.00	1.00	1.00	1.00	1.50	2.00	1.00	2.00	26.00	26.00	7.00	3.17	2.33	4.67	6.50	1.10	1.25	1.75	1.38	4.67
1	7	9.00	6.40	6.00	0	R_1C72Gb07dmN0xay	4	1	7	4	5	5	4	4	5	5	4	5	4	5	4	3	4	3	5	4	6	7	7	6	7	5	7	5	6	6	7	6	7	6	6	7	7	6	6	240	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	In my company having full stress and work tension and coworkers without follow any instructions sometimes so it was full stress.	6	3	4	3	4	3	4	3	3	4	4	2	3	4	4	3	4	3	4	4	3	4	4	4	3	4	4	3	4	3	4	3	4	Female	1	White	0.00	35.00	8	72756	9	9	4.00	3.50	3.00	3.50	4.00	4.00	3.00	4.00	3.00	4.00	3.50	3.00	4.00	3.00	63.00	63.00	6.00	6.71	6.42	5.67	6.50	3.60	3.50	3.75	3.63	5.67
2	3	6.00	2.70	5.25	0	R_1CfoWHSO4dBFh17	4	3	4	1	1	1	1	1	1	4	1	1	2	3	2	1	1	1	1	1	3	2	4	2	3	3	3	5	4	2	5	4	1	2	2	3	6	6	6	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	"I was stressed about climate change when Al Gore proclaimed many years ago that the end was iminent and that we must do massive transfers of wealth to poorer counties, other that our own. I was shocked at such llunacy, and to hear ddemocrats saying the same thing twenty years later, except now we only have ten years to go before the end of the world. The stupidity of it all is crazy."	6	1	1	4	2	1	1	1	4	4	2	1	1	1	1	1	1	1	2	1	2	4	1	2	2	1	1	2	2	1	1	1	1	male	0	caucasian	0.00	58.00	4	28791	7	5	4.00	1.00	1.00	1.00	1.00	1.00	1.50	1.00	4.00	2.00	1.50	2.00	2.00	1.00	18.00	18.00	6.00	2.92	2.83	5.00	6.00	1.90	1.75	1.00	1.25	5.00
2	5	8.00	2.50	4.50	0	R_3EMgpDN4w5R1IDv	4	4	4	3	4	4	2	4	2	2	3	4	4	4	5	4	5	5	3	3	4	4	2	5	2	2	2	3	3	6	5	5	2	2	4	1	5	5	4	8	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	nothing really directed towards me but i fear for the local farmers	3	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	3	1	2	1	1	1	3	1	1	Male	0	White	0.00	61.00	4	48867	7	9	1.00	1.00	1.00	2.00	1.50	1.00	1.00	2.00	1.50	1.00	1.00	2.50	1.00	1.50	40.00	40.00	4.00	4.00	3.00	4.33	4.50	1.30	1.33	1.75	1.38	4.33
